DATE,HOME_TEAM,HOME_SCORE,VISITOR_NAME,VISITOR_SCORE
2023-10-24,Denver Nuggets,119,Los Angeles Lakers,107
2023-10-24,Golden State Warriors,104,Phoenix Suns,108
2023-10-25,Orlando Magic,116,Houston Rockets,86
2023-10-25,New York Knicks,104,Boston Celtics,108
2023-10-25,Indiana Pacers,143,Washington Wizards,120
2023-10-25,Charlotte Hornets,116,Atlanta Hawks,110
2023-10-25,Miami Heat,103,Detroit Pistons,102
2023-10-25,Toronto Raptors,97,Minnesota Timberwolves,94
2023-10-25,Brooklyn Nets,113,Cleveland Cavaliers,114
2023-10-25,Memphis Grizzlies,104,New Orleans Pelicans,111
2023-10-25,Chicago Bulls,104,Oklahoma City Thunder,124
2023-10-25,Utah Jazz,114,Sacramento Kings,130
2023-10-25,San Antonio Spurs,119,Dallas Mavericks,126
2023-10-25,Los Angeles Clippers,123,Portland Trail Blazers,111
2023-10-26,Milwaukee Bucks,118,Philadelphia 76ers,117
2023-10-26,Los Angeles Lakers,100,Phoenix Suns,95
2023-10-27,Memphis Grizzlies,104,Denver Nuggets,108
2023-10-27,Charlotte Hornets,99,Detroit Pistons,111
2023-10-27,Atlanta Hawks,120,New York Knicks,126
2023-10-27,Cleveland Cavaliers,105,Oklahoma City Thunder,108
2023-10-27,Boston Celtics,119,Miami Heat,111
2023-10-27,Chicago Bulls,104,Toronto Raptors,103
2023-10-27,San Antonio Spurs,126,Houston Rockets,122
2023-10-27,Dallas Mavericks,125,Brooklyn Nets,120
2023-10-27,Utah Jazz,120,Los Angeles Clippers,118
2023-10-27,Portland Trail Blazers,97,Orlando Magic,102
2023-10-27,Sacramento Kings,114,Golden State Warriors,122
2023-10-28,Detroit Pistons,118,Chicago Bulls,102
2023-10-28,Washington Wizards,113,Memphis Grizzlies,106
2023-10-28,New Orleans Pelicans,96,New York Knicks,87
2023-10-28,Cleveland Cavaliers,113,Indiana Pacers,125
2023-10-28,Toronto Raptors,107,Philadelphia 76ers,114
2023-10-28,Minnesota Timberwolves,106,Miami Heat,90
2023-10-28,Phoenix Suns,126,Utah Jazz,104
2023-10-29,Oklahoma City Thunder,95,Denver Nuggets,128
2023-10-29,Houston Rockets,95,Golden State Warriors,106
2023-10-29,Milwaukee Bucks,110,Atlanta Hawks,127
2023-10-29,Philadelphia 76ers,126,Portland Trail Blazers,98
2023-10-29,Los Angeles Clippers,123,San Antonio Spurs,83
2023-10-29,Sacramento Kings,132,Los Angeles Lakers,127
2023-10-30,Indiana Pacers,105,Chicago Bulls,112
2023-10-30,Washington Wizards,107,Boston Celtics,126
2023-10-30,Charlotte Hornets,121,Brooklyn Nets,133
2023-10-30,Toronto Raptors,91,Portland Trail Blazers,99
2023-10-30,Atlanta Hawks,127,Minnesota Timberwolves,113
2023-10-30,Memphis Grizzlies,110,Dallas Mavericks,125
2023-10-30,Milwaukee Bucks,122,Miami Heat,114
2023-10-30,New Orleans Pelicans,102,Golden State Warriors,130
